A009,A008,S020,X002,X003,X001,X051,E033,B008,S012,S003,COW_NUM,A165,A170,A173,X002_02,X002_02A,X002_02B,X002_03,X003R,X003R2,country_code,age,sex,cohort,health,happy,year
3,1,1982,1964,18,1,-4,8,-4,-4,840,2,1,7,10,-4,-4,-4,-4,1,1,840,18,1,1964,3,4,1982
2,1,1982,1956,26,2,-4,5,-4,-4,840,2,2,9,7,-4,-4,-4,-4,2,1,840,26,2,1956,4,4,1982
2,2,1982,1917,65,2,-4,-1,-4,-4,840,2,2,10,-1,-4,-4,-4,-4,6,3,840,65,2,1917,4,3,1982
3,2,1982,1950,32,1,-4,-1,-4,-4,840,2,2,7,6,-4,-4,-4,-4,2,2,840,32,1,1950,3,3,1982
2,-1,1982,1929,53,1,-4,5,-4,-4,840,2,-1,8,1,-4,-4,-4,-4,4,3,840,53,1,1929,4,6,1982
2,2,1982,1957,25,2,-4,-1,-4,-4,840,2,2,3,5,-4,-4,-4,-4,2,1,840,25,2,1957,4,3,1982
3,2,1982,1954,28,2,-4,-1,-4,-4,840,2,2,7,7,-4,-4,-4,-4,2,1,840,28,2,1954,3,3,1982
3,2,1982,1946,36,1,-4,10,-4,-4,840,2,1,8,8,-4,-4,-4,-4,3,2,840,36,1,1946,3,3,1982
2,2,1982,1937,45,1,-4,5,-4,-4,840,2,1,10,10,-4,-4,-4,-4,4,2,840,45,1,1937,4,3,1982
-1,2,1982,1956,26,2,-4,7,-4,-4,840,2,-1,8,10,-4,-4,-4,-4,2,1,840,26,2,1956,7,3,1982
1,1,1982,1936,46,2,-4,9,-4,-4,840,2,2,5,6,-4,-4,-4,-4,4,2,840,46,2,1936,5,4,1982
1,2,1982,1933,49,2,-4,-1,-4,-4,840,2,2,8,10,-4,-4,-4,-4,4,2,840,49,2,1933,5,3,1982
5,3,1982,1958,24,2,-4,3,-4,-4,840,2,2,3,4,-4,-4,-4,-4,1,1,840,24,2,1958,1,2,1982
2,2,1982,1920,62,2,-4,5,-4,-4,840,2,2,8,5,-4,-4,-4,-4,5,3,840,62,2,1920,4,3,1982
