year,trust,sex,age,partyid,wrkstat,happy,degree,realinc,health,life,satfin,polviews,educ
1972,2,1,50,2,1,2,4,24366,4,NA,1,NA,18
1972,1,2,38,3,1,1,3,37226,1,NA,1,NA,18
1972,2,1,26,3,2,2,3,13537,2,NA,2,NA,18
1972,1,2,28,3,6,1,1,18951,1,NA,1,NA,12
1972,1,2,81,6,7,1,1,18951,2,NA,2,NA,14
1972,1,2,55,2,2,1,1,30458,1,NA,3,NA,12
1972,1,1,76,6,5,1,0,24366,1,NA,2,NA,12
1972,1,1,29,3,1,2,1,43994,1,NA,2,NA,12
1972,2,1,19,7,1,1,0,2707,2,NA,3,NA,10
1972,2,2,76,5,5,2,0,13537,1,NA,2,NA,10
1972,1,1,61,6,1,2,4,30458,1,NA,2,NA,19
1972,1,1,26,5,1,2,3,37226,1,NA,2,NA,16
1972,1,2,39,4,7,2,1,18951,1,NA,3,NA,14
1972,2,1,19,7,1,3,0,18951,2,NA,2,NA,9
1972,1,2,26,2,1,1,3,8122,2,NA,2,NA,16
1972,2,2,21,2,7,2,1,8122,3,NA,2,NA,12
1972,2,2,45,0,1,1,0,18951,3,NA,1,NA,10
1972,2,2,27,2,7,2,1,8122,2,NA,3,NA,12
1972,2,1,76,0,5,1,0,2707,1,NA,1,NA,1
1972,1,2,63,0,7,2,0,13537,2,NA,2,NA,5
1972,2,1,52,0,1,2,0,18951,2,NA,2,NA,6
1972,2,1,65,0,5,2,0,13537,2,NA,2,NA,1
1972,1,1,59,1,1,3,0,13537,3,NA,2,NA,2
1972,1,1,26,1,1,2,1,109355,1,NA,2,NA,14
1972,1,2,41,4,1,1,3,109355,2,NA,1,NA,16
1972,3,1,56,3,1,2,4,109355,1,NA,1,NA,18
1972,1,1,62,4,1,3,1,50763,1,NA,2,NA,15
1972,1,1,29,4,1,1,4,50763,1,NA,2,NA,18
1972,2,2,25,2,2,1,3,60915,1,NA,1,NA,16
1972,1,2,41,6,2,1,1,50763,2,NA,1,NA,12
1972,1,2,21,2,7,2,0,NA,2,NA,2,NA,12
1972,1,2,49,0,1,2,1,30458,2,NA,2,NA,12
1972,1,1,38,1,1,1,0,43994,1,NA,1,NA,9
1972,2,1,50,1,1,1,1,43994,1,NA,1,NA,12
1972,1,1,43,1,1,2,1,30458,1,NA,2,NA,12
1972,2,1,32,5,1,2,1,24366,1,NA,3,NA,13
1972,1,2,55,6,1,2,1,13537,1,NA,3,NA,12
1972,1,2,27,7,1,1,2,30458,2,NA,3,NA,14
1972,1,1,56,3,1,2,1,43994,3,NA,1,NA,13
1972,2,2,48,1,7,1,0,74452,1,NA,1,NA,8
1972,1,1,56,0,1,2,0,24366,2,NA,1,NA,10
1972,2,2,44,0,7,1,0,18951,4,NA,3,NA,3
1972,NA,2,25,1,7,2,0,8122,3,NA,3,NA,9
1972,1,1,32,1,1,2,0,30458,2,NA,2,NA,10
1972,1,2,33,5,7,1,1,74452,1,NA,1,NA,13
1972,1,1,48,1,1,1,0,30458,1,NA,3,NA,11
1972,2,1,45,0,1,2,1,24366,1,NA,2,NA,12
1972,1,2,45,1,7,3,0,24366,3,NA,3,NA,10
1972,2,1,72,0,5,1,0,2707,3,NA,1,NA,7
1972,2,2,45,0,7,2,0,8122,3,NA,3,NA,9
1972,2,2,70,1,3,3,0,8122,3,NA,3,NA,6
1972,2,2,31,1,1,2,1,24366,2,NA,3,NA,14
1972,2,1,20,5,8,2,1,8122,2,NA,3,NA,12
1972,2,2,22,7,7,2,0,2707,2,NA,3,NA,9
1972,2,1,63,0,5,2,0,8122,4,NA,2,NA,4
1972,2,1,70,0,5,2,0,8122,3,NA,2,NA,6
1972,3,1,68,7,5,1,0,13537,2,NA,2,NA,11
1972,1,2,43,5,2,1,1,NA,1,NA,1,NA,12
1972,2,2,53,6,1,2,4,60915,1,NA,2,NA,17
1972,1,2,44,5,7,2,1,NA,2,NA,3,NA,12
1972,1,2,37,5,3,2,1,37226,1,NA,2,NA,15
1972,2,1,55,5,1,2,1,NA,2,NA,2,NA,12
1972,1,1,52,6,1,1,1,60915,2,NA,1,NA,14
1972,1,1,64,5,3,2,0,60915,1,NA,1,NA,10
1972,3,1,NA,5,1,2,1,43994,1,NA,3,NA,12
1972,1,1,64,1,5,2,0,18951,2,NA,3,NA,11
1972,2,2,27,2,1,2,3,24366,1,NA,3,NA,16
1972,1,1,28,4,1,1,1,30458,1,NA,3,NA,14
1972,1,1,22,4,2,2,1,2707,2,NA,3,NA,15
1972,1,2,61,2,7,1,1,37226,3,NA,1,NA,14
1972,1,2,82,5,7,3,1,13537,2,NA,1,NA,15
1972,1,1,22,3,2,1,1,2707,2,NA,1,NA,12
1972,2,2,30,3,1,1,0,37226,3,NA,1,NA,10
1972,2,2,29,0,1,1,1,18951,1,NA,2,NA,12
1972,2,1,60,0,2,1,0,13537,3,NA,2,NA,4
1972,2,2,39,7,7,1,0,2707,2,NA,2,NA,4
1972,2,2,21,1,7,2,0,2707,2,NA,3,NA,9
1972,3,1,56,0,8,2,0,109355,3,NA,1,NA,7
1972,1,1,72,0,5,2,0,2707,2,NA,1,NA,5
1972,2,1,61,1,8,2,0,13537,4,NA,2,NA,8
1972,1,1,71,1,1,2,4,109355,1,NA,1,NA,20
1972,2,2,56,2,3,3,0,8122,4,NA,2,NA,9
1972,2,2,71,5,7,1,0,NA,1,NA,2,NA,5
1972,2,1,48,1,1,1,1,60915,1,NA,1,NA,14
1972,2,2,43,4,7,1,1,43994,3,NA,1,NA,12
1972,3,2,61,0,1,1,1,13537,2,NA,1,NA,12
1972,1,1,70,0,5,2,1,18951,1,NA,1,NA,12
1972,1,2,48,5,1,1,0,30458,2,NA,2,NA,11
1972,2,2,34,3,7,1,1,24366,2,NA,2,NA,12
1972,2,1,19,0,6,3,1,18951,2,NA,3,NA,12
1972,3,2,52,1,1,1,0,NA,3,NA,2,NA,8
1972,1,1,30,0,1,3,1,43994,1,NA,1,NA,14
1972,1,1,60,2,1,2,1,30458,2,NA,2,NA,12
1972,1,1,50,0,1,2,3,50763,2,NA,2,NA,16
1972,1,2,47,0,1,2,1,30458,1,NA,1,NA,14
1972,1,2,50,5,7,2,0,18951,4,NA,2,NA,5
1972,2,2,68,0,7,2,0,2707,2,NA,3,NA,5
1972,2,1,50,0,1,1,1,24366,1,NA,1,NA,12
1972,2,1,21,2,4,3,0,NA,3,NA,3,NA,10
1972,2,2,72,7,7,2,0,2707,2,NA,3,NA,3
1972,2,1,52,5,1,3,1,13537,2,NA,3,NA,12
1972,2,2,32,7,3,1,1,30458,2,NA,1,NA,12
1972,2,1,52,3,1,1,1,30458,2,NA,1,NA,12
1972,1,2,60,1,5,1,1,13537,3,NA,1,NA,12
1972,2,1,32,5,1,2,0,24366,2,NA,3,NA,12
1972,1,2,60,1,5,2,0,2707,2,NA,2,NA,9
1972,2,2,80,0,7,2,0,2707,3,NA,2,NA,7
1972,2,1,58,1,1,2,0,37226,2,NA,2,NA,8
1972,2,2,36,5,1,2,1,30458,2,NA,2,NA,12
1972,2,2,31,1,1,2,1,37226,2,NA,2,NA,12
1972,2,1,30,1,1,1,3,50763,2,NA,2,NA,16
1972,2,1,63,3,1,1,1,74452,2,NA,1,NA,16
1972,2,1,34,3,1,2,1,43994,2,NA,2,NA,13
1972,2,2,29,5,7,2,1,30458,2,NA,2,NA,12
1972,1,2,36,1,7,3,0,24366,3,NA,2,NA,5
1972,2,2,39,1,7,2,1,18951,1,NA,3,NA,12
1972,1,1,73,0,5,3,0,13537,4,NA,3,NA,8
1972,1,1,38,7,1,3,0,24366,1,NA,3,NA,10
1972,2,1,55,5,1,2,1,37226,2,NA,2,NA,13
1972,1,1,30,7,1,2,1,60915,2,NA,1,NA,12
1972,1,2,44,1,7,1,1,8122,3,NA,2,NA,12
1972,1,2,43,4,7,2,0,30458,2,NA,1,NA,8
1972,2,1,38,1,1,3,0,30458,1,NA,1,NA,8
1972,1,2,44,1,7,2,1,18951,1,NA,2,NA,12
1972,2,2,75,2,5,2,0,2707,2,NA,3,NA,9
1972,2,1,43,5,1,1,4,50763,1,NA,1,NA,18
1972,2,2,43,3,1,2,0,24366,2,NA,3,NA,9
1972,2,1,27,3,1,1,1,24366,2,NA,3,NA,12
1972,1,1,58,2,1,1,0,30458,3,NA,1,NA,10
1972,1,1,45,2,1,1,1,37226,2,NA,1,NA,12
1972,1,1,31,3,1,1,1,30458,1,NA,2,NA,12
1972,1,2,23,0,8,1,1,18951,2,NA,3,NA,12
1972,2,1,69,1,5,1,0,13537,2,NA,2,NA,7
1972,2,2,35,1,4,2,0,8122,2,NA,2,NA,8
1972,2,2,43,0,7,2,1,8122,2,NA,2,NA,12
1972,2,2,56,7,7,3,0,13537,2,NA,3,NA,7
1972,2,2,36,0,7,3,1,8122,3,NA,3,NA,11
1972,2,2,47,0,2,1,0,NA,1,NA,3,NA,6
1972,2,1,29,2,1,2,1,24366,2,NA,2,NA,14
1972,2,1,60,0,1,2,1,24366,2,NA,2,NA,12
1972,2,2,37,1,1,1,0,24366,2,NA,2,NA,10
1972,2,1,20,0,1,1,1,13537,2,NA,2,NA,12
1972,2,2,55,1,7,2,0,24366,3,NA,1,NA,9
1972,1,2,71,1,8,2,0,2707,4,NA,3,NA,NA
1972,2,1,30,0,1,2,1,13537,2,NA,1,NA,11
1972,1,2,59,0,7,2,0,8122,4,NA,3,NA,9
1972,2,2,42,5,1,1,1,24366,1,NA,1,NA,12
1972,1,2,55,5,7,1,1,8122,3,NA,2,NA,11
1972,2,1,24,0,1,3,1,8122,3,NA,1,NA,12
1972,2,1,30,1,4,3,0,2707,2,NA,3,NA,7
1972,2,1,70,0,2,1,0,8122,2,NA,1,NA,0
1972,2,2,43,5,7,2,0,8122,3,NA,1,NA,7
1972,2,1,45,2,1,3,0,30458,2,NA,2,NA,11
1972,1,1,25,0,1,2,3,24366,2,NA,1,NA,16
1972,1,2,37,7,7,3,0,8122,1,NA,3,NA,0
1972,2,1,22,1,4,2,1,50763,2,NA,2,NA,14
1972,2,2,27,7,1,3,0,37226,1,NA,2,NA,8
1972,1,2,28,0,1,2,4,50763,1,NA,2,NA,18
1972,1,1,42,1,1,1,1,50763,1,NA,1,NA,12
1972,2,2,42,7,7,2,0,8122,1,NA,2,NA,3
1972,1,1,30,1,1,2,1,50763,1,NA,2,NA,12
1972,2,2,40,2,7,2,1,50763,2,NA,1,NA,12
1972,1,1,37,4,1,1,4,50763,2,NA,1,NA,18
1972,1,2,24,2,1,2,3,60915,1,NA,1,NA,16
1972,1,1,46,5,1,1,1,37226,1,NA,1,NA,12
1972,1,2,53,2,7,2,1,37226,2,NA,3,NA,12
1972,1,1,64,2,5,2,1,18951,3,NA,3,NA,11
1972,1,2,20,1,7,1,1,37226,1,NA,1,NA,13
1972,1,1,60,6,1,1,0,24366,2,NA,1,NA,8
1972,1,1,33,6,1,2,3,37226,1,NA,1,NA,16
1972,1,2,70,7,5,2,3,18951,2,NA,2,NA,16
1972,1,1,60,5,4,1,0,37226,3,NA,1,NA,3
1972,1,2,26,7,7,1,0,30458,1,NA,1,NA,11
1972,2,2,74,7,4,3,0,8122,3,NA,2,NA,3
1972,1,2,33,6,1,1,0,50763,2,NA,1,NA,11
1972,2,2,23,1,1,2,0,2707,3,NA,2,NA,11
1972,2,1,19,1,1,2,0,13537,2,NA,2,NA,12
1972,2,2,59,0,3,3,0,13537,2,NA,2,NA,4
1972,2,2,70,7,7,2,0,8122,3,NA,2,NA,9
1972,2,1,52,1,1,2,0,18951,3,NA,2,NA,2
1972,2,2,NA,7,5,3,0,2707,4,NA,3,NA,0
1972,2,1,75,1,5,1,0,2707,4,NA,1,NA,2
1972,2,2,49,0,7,1,0,NA,3,NA,1,NA,8
1972,2,1,49,1,1,2,0,30458,2,NA,2,NA,8
1972,1,1,46,5,1,2,0,30458,2,NA,2,NA,14
1972,1,2,45,1,1,2,1,13537,1,NA,2,NA,12
1972,1,2,28,1,1,2,3,18951,1,NA,2,NA,17
1972,2,1,23,2,1,3,1,24366,3,NA,2,NA,12
1972,1,1,64,0,1,2,1,43994,2,NA,2,NA,12
1972,1,2,33,0,2,2,1,13537,2,NA,3,NA,12
1972,1,2,69,0,7,1,0,13537,3,NA,2,NA,6
1972,2,1,72,0,5,2,0,13537,1,NA,2,NA,5
1972,1,1,59,0,1,2,0,13537,2,NA,2,NA,8
1972,1,2,69,0,7,1,0,8122,2,NA,1,NA,6
1972,1,2,58,0,7,2,0,13537,2,NA,1,NA,9
1972,1,1,53,1,1,2,0,8122,3,NA,2,NA,9
1972,2,1,62,0,1,1,0,8122,3,NA,1,NA,5
1972,1,1,58,3,1,2,0,8122,2,NA,3,NA,8
1972,2,2,32,5,7,2,1,13537,2,NA,3,NA,14
1972,1,2,58,1,7,2,1,13537,3,NA,2,NA,12
1972,2,2,70,5,7,2,1,2707,3,NA,2,NA,12
1972,1,1,69,5,1,2,0,13537,2,NA,1,NA,8
1972,1,1,36,5,1,2,0,24366,1,NA,2,NA,10
1972,1,1,47,4,1,2,0,8122,3,NA,2,NA,9
1972,1,1,31,0,4,2,0,37226,1,NA,2,NA,12
1972,2,2,81,1,7,2,0,2707,3,NA,1,NA,5
1972,1,1,24,3,1,2,1,30458,2,NA,2,NA,12
1972,1,2,51,5,2,2,1,30458,3,NA,2,NA,12
1972,2,2,69,0,7,3,0,2707,4,NA,3,NA,3
1972,1,2,30,1,2,1,1,24366,2,NA,3,NA,12
1972,1,1,69,3,1,2,0,8122,3,NA,2,NA,12
1972,1,1,45,1,1,3,0,30458,3,NA,2,NA,11
1972,2,1,24,5,1,2,1,24366,2,NA,2,NA,12
1972,3,1,66,5,5,1,0,13537,2,NA,2,NA,7
1972,3,2,29,5,7,3,1,24366,2,NA,2,NA,12
1972,2,2,57,5,7,3,0,NA,2,NA,3,NA,8
1972,2,1,58,5,8,1,0,37226,1,NA,3,NA,8
1972,3,1,77,6,2,2,0,18951,3,NA,2,NA,8
1972,2,2,30,1,7,1,4,50763,1,NA,2,NA,18
1972,2,2,56,5,2,2,1,13537,2,NA,2,NA,12
1972,1,2,49,6,1,2,1,24366,2,NA,1,NA,13
