year,cohort,age,health,sex,happy,life,educ,polviews,class,satfin
1972,1919,53,2,2,2,NA,12,NA,3,3
1972,1908,64,3,1,2,NA,11,NA,2,3
1972,1952,20,1,2,1,NA,13,NA,2,1
1972,1912,60,2,1,1,NA,8,NA,3,1
1972,1939,33,1,1,2,NA,16,NA,3,1
1972,1902,70,2,2,2,NA,16,NA,3,2
1972,1912,60,3,1,1,NA,3,NA,3,1
1972,1946,26,1,2,1,NA,11,NA,3,1
1972,1898,74,3,2,3,NA,3,NA,3,2
1972,1939,33,2,2,1,NA,11,NA,3,1
1972,1949,23,3,2,2,NA,11,NA,2,2
1972,1953,19,2,1,2,NA,12,NA,4,2
1972,1913,59,2,2,3,NA,4,NA,2,2
1972,1902,70,3,2,2,NA,9,NA,1,2
1972,1920,52,3,1,2,NA,2,NA,2,2
1972,NA,NA,4,2,3,NA,0,NA,3,3
1972,1897,75,4,1,1,NA,2,NA,1,1
1972,1923,49,3,2,1,NA,8,NA,3,1
1972,1923,49,2,1,2,NA,8,NA,2,2
1972,1926,46,2,1,2,NA,14,NA,2,2
1972,1927,45,1,2,2,NA,12,NA,3,2
1972,1944,28,1,2,2,NA,17,NA,3,2
1972,1949,23,3,1,3,NA,12,NA,2,2
1972,1908,64,2,1,2,NA,12,NA,3,2
1972,1939,33,2,2,2,NA,12,NA,2,3
1972,1903,69,3,2,1,NA,6,NA,2,2
1972,1900,72,1,1,2,NA,5,NA,2,2
1972,1913,59,2,1,2,NA,8,NA,2,2
1972,1903,69,2,2,1,NA,6,NA,3,1
1972,1914,58,2,2,2,NA,9,NA,2,1
1972,1919,53,3,1,2,NA,9,NA,2,2
1972,1910,62,3,1,1,NA,5,NA,2,1
1972,1914,58,2,1,2,NA,8,NA,2,3
1972,1940,32,2,2,2,NA,14,NA,3,3
1972,1914,58,3,2,2,NA,12,NA,3,2
1972,1902,70,3,2,2,NA,12,NA,3,2
1972,1903,69,2,1,2,NA,8,NA,2,1
1972,1936,36,1,1,2,NA,10,NA,2,2
1972,1925,47,3,1,2,NA,9,NA,2,2
1972,1941,31,1,1,2,NA,12,NA,3,2
1972,1891,81,3,2,2,NA,5,NA,3,1
1972,1948,24,2,1,2,NA,12,NA,3,2
1972,1921,51,3,2,2,NA,12,NA,3,2
1972,1903,69,4,2,3,NA,3,NA,1,3
1972,1942,30,2,2,1,NA,12,NA,2,3
1972,1903,69,3,1,2,NA,12,NA,2,2
1972,1927,45,3,1,3,NA,11,NA,2,2
1972,1948,24,2,1,2,NA,12,NA,3,2
1972,1906,66,2,1,1,NA,7,NA,2,2
1972,1943,29,2,2,3,NA,12,NA,3,2
1972,1915,57,2,2,3,NA,8,NA,3,3
1972,1914,58,1,1,1,NA,8,NA,3,3
1972,1895,77,3,1,2,NA,8,NA,2,2
1972,1942,30,1,2,1,NA,18,NA,3,2
1972,1916,56,2,2,2,NA,12,NA,1,2
1972,1923,49,2,2,2,NA,13,NA,3,1
1972,1920,52,2,2,2,NA,10,NA,3,2
1972,1932,40,1,1,2,NA,7,NA,3,2
1972,1924,48,2,1,2,NA,14,NA,4,1
1972,1925,47,3,2,2,NA,6,NA,4,1
1972,1941,31,1,1,1,NA,14,NA,3,1
1972,1951,21,2,1,2,NA,13,NA,1,2
1972,1888,84,4,2,3,NA,8,NA,1,3
1972,1911,61,3,2,2,NA,9,NA,3,2
1972,1926,46,2,2,2,NA,13,NA,2,3
1972,1933,39,2,2,3,NA,16,NA,2,3
1972,1908,64,2,2,2,NA,11,NA,2,2
1972,1895,77,4,1,2,NA,4,NA,3,1
1972,1947,25,1,1,2,NA,14,NA,3,2
1972,1919,53,2,1,2,NA,7,NA,1,2
1972,1920,52,2,1,2,NA,10,NA,2,1
1972,1901,71,3,1,2,NA,6,NA,2,2
1972,1920,52,2,1,1,NA,8,NA,2,1
1972,1915,57,2,1,1,NA,7,NA,3,2
1972,1903,69,2,2,1,NA,8,NA,3,2
1972,1898,74,3,2,2,NA,9,NA,2,3
1972,1914,58,3,2,2,NA,12,NA,2,2
1972,1949,23,2,2,1,NA,12,NA,3,2
1972,1911,61,3,2,1,NA,8,NA,2,2
1972,1912,60,3,2,2,NA,11,NA,3,2
1972,1936,36,2,2,2,NA,8,NA,2,2
1972,1914,58,2,1,2,NA,17,NA,2,1
1972,1944,28,2,1,2,NA,4,NA,3,2
1972,1943,29,2,1,3,NA,2,NA,3,2
1972,1947,25,2,1,1,NA,11,NA,2,1
1972,1915,57,3,1,2,NA,12,NA,2,2
1972,1946,26,1,2,1,NA,12,NA,2,2
1972,1917,55,2,1,2,NA,11,NA,2,1
1972,1943,29,2,2,1,NA,17,NA,3,2
1972,1904,68,2,2,1,NA,7,NA,2,2
1972,1954,18,2,2,1,NA,12,NA,3,1
1972,1923,49,2,1,2,NA,10,NA,2,1
1972,1908,64,3,1,1,NA,12,NA,2,1
1972,1934,38,2,1,2,NA,12,NA,3,1
1972,1942,30,1,1,2,NA,9,NA,2,2
1972,1916,56,3,2,2,NA,10,NA,3,2
1972,1952,20,3,2,2,NA,12,NA,3,3
1972,1953,19,2,1,2,NA,12,NA,2,2
1972,1922,50,3,2,1,NA,9,NA,2,3
1972,1934,38,2,1,1,NA,14,NA,NA,2
1972,1908,64,2,2,2,NA,12,NA,3,3
1972,1898,74,3,2,3,NA,11,NA,3,2
1972,1897,75,2,2,2,NA,12,NA,2,2
1972,1950,22,3,1,3,NA,11,NA,3,3
1972,1897,75,3,1,NA,NA,8,NA,2,NA
1972,1949,23,2,2,2,NA,16,NA,2,2
1972,1893,79,3,2,2,NA,12,NA,3,1
1972,1912,60,2,1,2,NA,7,NA,2,2
1972,1946,26,2,1,2,NA,15,NA,2,2
1972,1909,63,3,1,1,NA,12,NA,2,2
1972,1909,63,2,2,2,NA,9,NA,2,1
1972,1938,34,1,2,1,NA,12,NA,3,1
1972,1939,33,3,1,1,NA,9,NA,1,1
1972,1919,53,2,1,2,NA,12,NA,3,1
1972,1894,78,1,1,1,NA,15,NA,4,1
1972,1950,22,3,2,2,NA,11,NA,2,3
1972,1940,32,1,1,2,NA,10,NA,2,2
1972,1945,27,2,1,2,NA,13,NA,2,2
1972,1937,35,2,2,2,NA,15,NA,3,2
1972,1933,39,2,2,2,NA,12,NA,2,2
1972,1948,24,2,2,2,NA,14,NA,2,2
1972,1950,22,1,2,2,NA,12,NA,2,3
1972,1944,28,2,1,2,NA,12,NA,3,3
1972,1915,57,3,1,2,NA,13,NA,2,2
1972,1924,48,1,1,1,NA,14,NA,3,2
1972,1946,26,2,1,2,NA,12,NA,2,3
1972,1922,50,2,2,2,NA,8,NA,2,2
1972,1940,32,2,2,2,NA,12,NA,2,3
1972,1916,56,4,2,3,NA,8,NA,2,2
1972,1946,26,1,1,2,NA,12,NA,2,2
1972,1942,30,1,2,2,NA,12,NA,3,3
1972,1889,83,2,1,3,NA,4,NA,1,2
1972,1946,26,4,2,2,NA,12,NA,1,3
1972,1952,20,1,1,2,NA,9,NA,2,3
1972,1931,41,1,1,1,NA,12,NA,1,2
1972,1916,56,4,2,3,NA,7,NA,1,2
1972,1889,83,4,2,2,NA,6,NA,1,1
1972,1945,27,3,2,1,NA,5,NA,1,1
1972,1951,21,3,2,3,NA,5,NA,1,2
1972,1953,19,1,1,1,NA,12,NA,2,2
1972,1931,41,3,1,1,NA,12,NA,2,2
1972,1937,35,2,1,1,NA,12,NA,2,3
1972,1915,57,2,2,2,NA,9,NA,2,1
1972,1930,42,2,2,2,NA,12,NA,2,1
1972,1918,54,2,2,1,NA,10,NA,2,1
1972,1948,24,2,2,2,NA,12,NA,2,1
1972,1910,62,2,1,1,NA,8,NA,2,2
1972,1933,39,3,1,2,NA,8,NA,2,2
1972,1948,24,1,1,1,NA,11,NA,3,1
1972,1906,66,2,2,1,NA,12,NA,3,1
1972,1917,55,2,1,2,NA,11,NA,2,1
1972,1947,25,2,1,2,NA,12,NA,3,2
