S003,COUNTRY_ALPHA,COW_NUM,COW_ALPHA,S012,S001,S022,S023,X003,X001,X002,S020,A009,A008,year,year2,country_code,age,sex,cohort,health,happy
840,USA,2,USA,-4,2,199509,199512,49,1,1946,1995,2,2,1995,1995,840,49,1,1946,4,3
840,USA,2,USA,-4,2,199509,199512,61,1,1934,1995,2,2,1995,1995,840,61,1,1934,4,3
840,USA,2,USA,-4,2,199509,199512,59,2,1936,1995,2,1,1995,1995,840,59,2,1936,4,4
840,USA,2,USA,-4,2,199509,199512,25,2,1970,1995,1,1,1995,1995,840,25,2,1970,5,4
840,USA,2,USA,-4,2,199509,199512,18,1,1977,1995,1,1,1995,1995,840,18,1,1977,5,4
840,USA,2,USA,-4,2,199509,199512,58,2,1937,1995,2,2,1995,1995,840,58,2,1937,4,3
840,USA,2,USA,-4,2,199509,199512,40,2,1955,1995,2,2,1995,1995,840,40,2,1955,4,3
840,USA,2,USA,-4,2,199509,199512,79,2,1916,1995,2,1,1995,1995,840,79,2,1916,4,4
840,USA,2,USA,-4,2,199509,199512,40,1,1955,1995,3,2,1995,1995,840,40,1,1955,3,3
840,USA,2,USA,-4,2,199509,199512,29,1,1965,1995,1,1,1995,1995,840,29,1,1965,5,4
840,USA,2,USA,-4,2,199509,199512,33,2,1962,1995,1,1,1995,1995,840,33,2,1962,5,4
840,USA,2,USA,-4,2,199509,199512,38,2,1957,1995,1,1,1995,1995,840,38,2,1957,5,4
840,USA,2,USA,-4,2,199509,199512,47,2,1947,1995,1,2,1995,1995,840,47,2,1947,5,3
840,USA,2,USA,-4,2,199509,199512,54,1,1940,1995,2,2,1995,1995,840,54,1,1940,4,3
840,USA,2,USA,-4,2,199509,199512,36,1,1959,1995,3,2,1995,1995,840,36,1,1959,3,3
840,USA,2,USA,-4,2,199509,199512,31,2,1964,1995,1,1,1995,1995,840,31,2,1964,5,4
840,USA,2,USA,-4,2,199509,199512,27,2,1968,1995,2,2,1995,1995,840,27,2,1968,4,3
840,USA,2,USA,-4,2,199509,199512,30,1,1965,1995,3,2,1995,1995,840,30,1,1965,3,3
840,USA,2,USA,-4,2,199509,199512,26,2,1969,1995,1,2,1995,1995,840,26,2,1969,5,3
840,USA,2,USA,-4,2,199509,199512,69,1,1925,1995,2,2,1995,1995,840,69,1,1925,4,3
840,USA,2,USA,-4,2,199509,199512,60,2,1935,1995,2,1,1995,1995,840,60,2,1935,4,4
840,USA,2,USA,-4,2,199509,199512,39,2,1955,1995,1,3,1995,1995,840,39,2,1955,5,2
840,USA,2,USA,-4,2,199509,199512,35,1,1960,1995,1,2,1995,1995,840,35,1,1960,5,3
840,USA,2,USA,-4,2,199509,199512,73,1,1922,1995,2,1,1995,1995,840,73,1,1922,4,4
840,USA,2,USA,-4,2,199509,199512,38,1,1957,1995,2,1,1995,1995,840,38,1,1957,4,4
840,USA,2,USA,-4,2,199509,199512,76,2,1919,1995,1,1,1995,1995,840,76,2,1919,5,4
840,USA,2,USA,-4,2,199509,199512,42,2,1953,1995,1,2,1995,1995,840,42,2,1953,5,3
840,USA,2,USA,-4,2,199509,199512,80,1,1915,1995,3,2,1995,1995,840,80,1,1915,3,3
840,USA,2,USA,-4,2,199509,199512,47,1,1948,1995,2,2,1995,1995,840,47,1,1948,4,3
840,USA,2,USA,-4,2,199509,199512,36,2,1959,1995,2,2,1995,1995,840,36,2,1959,4,3
840,USA,2,USA,-4,2,199509,199512,60,1,1935,1995,2,1,1995,1995,840,60,1,1935,4,4
840,USA,2,USA,-4,2,199509,199512,85,1,1910,1995,3,2,1995,1995,840,85,1,1910,3,3
840,USA,2,USA,-4,2,199509,199512,-1,2,-1,1995,1,1,1995,1995,840,-1,2,-1,5,4
840,USA,2,USA,-4,2,199509,199512,65,2,1929,1995,2,1,1995,1995,840,65,2,1929,4,4
840,USA,2,USA,-4,2,199509,199512,36,1,1959,1995,1,2,1995,1995,840,36,1,1959,5,3
840,USA,2,USA,-4,2,199509,199512,42,1,1953,1995,1,1,1995,1995,840,42,1,1953,5,4
840,USA,2,USA,-4,2,199509,199512,45,2,1950,1995,2,3,1995,1995,840,45,2,1950,4,2
840,USA,2,USA,-4,2,199509,199512,24,2,1971,1995,1,3,1995,1995,840,24,2,1971,5,2
840,USA,2,USA,-4,2,199509,199512,32,1,1963,1995,1,1,1995,1995,840,32,1,1963,5,4
840,USA,2,USA,-4,2,199509,199512,33,1,1962,1995,1,1,1995,1995,840,33,1,1962,5,4
840,USA,2,USA,-4,2,199509,199512,33,2,1962,1995,1,2,1995,1995,840,33,2,1962,5,3
840,USA,2,USA,-4,2,199509,199512,73,1,1922,1995,2,1,1995,1995,840,73,1,1922,4,4
840,USA,2,USA,-4,2,199509,199512,30,1,1964,1995,1,1,1995,1995,840,30,1,1964,5,4
840,USA,2,USA,-4,2,199509,199512,37,2,1958,1995,1,1,1995,1995,840,37,2,1958,5,4
840,USA,2,USA,-4,2,199509,199512,39,2,1955,1995,2,2,1995,1995,840,39,2,1955,4,3
840,USA,2,USA,-4,2,199509,199512,30,2,1965,1995,3,2,1995,1995,840,30,2,1965,3,3
840,USA,2,USA,-4,2,199509,199512,34,1,1961,1995,1,1,1995,1995,840,34,1,1961,5,4
840,USA,2,USA,-4,2,199509,199512,39,1,1956,1995,2,2,1995,1995,840,39,1,1956,4,3
840,USA,2,USA,-4,2,199509,199512,61,1,1934,1995,2,1,1995,1995,840,61,1,1934,4,4
840,USA,2,USA,-4,2,199509,199512,66,2,1929,1995,2,2,1995,1995,840,66,2,1929,4,3
840,USA,2,USA,-4,2,199509,199512,25,2,1970,1995,1,2,1995,1995,840,25,2,1970,5,3
840,USA,2,USA,-4,2,199509,199512,28,2,1967,1995,1,2,1995,1995,840,28,2,1967,5,3
840,USA,2,USA,-4,2,199509,199512,55,1,1940,1995,2,3,1995,1995,840,55,1,1940,4,2
840,USA,2,USA,-4,2,199509,199512,41,1,1954,1995,2,3,1995,1995,840,41,1,1954,4,2
840,USA,2,USA,-4,2,199509,199512,30,1,1965,1995,1,1,1995,1995,840,30,1,1965,5,4
840,USA,2,USA,-4,2,199509,199512,48,1,1947,1995,1,1,1995,1995,840,48,1,1947,5,4
840,USA,2,USA,-4,2,199509,199512,73,1,1922,1995,2,2,1995,1995,840,73,1,1922,4,3
840,USA,2,USA,-4,2,199509,199512,44,2,1951,1995,1,2,1995,1995,840,44,2,1951,5,3
840,USA,2,USA,-4,2,199509,199512,44,2,1951,1995,1,2,1995,1995,840,44,2,1951,5,3
840,USA,2,USA,-4,2,199509,199512,91,1,1904,1995,4,2,1995,1995,840,91,1,1904,2,3
840,USA,2,USA,-4,2,199509,199512,37,1,1958,1995,3,2,1995,1995,840,37,1,1958,3,3
840,USA,2,USA,-4,2,199509,199512,61,2,1934,1995,2,1,1995,1995,840,61,2,1934,4,4
840,USA,2,USA,-4,2,199509,199512,40,1,1955,1995,2,2,1995,1995,840,40,1,1955,4,3
840,USA,2,USA,-4,2,199509,199512,61,2,1934,1995,1,1,1995,1995,840,61,2,1934,5,4
840,USA,2,USA,-4,2,199509,199512,-1,1,-1,1995,2,2,1995,1995,840,-1,1,-1,4,3
840,USA,2,USA,-4,2,199509,199512,61,1,1934,1995,3,1,1995,1995,840,61,1,1934,3,4
840,USA,2,USA,-4,2,199509,199512,21,1,1974,1995,1,2,1995,1995,840,21,1,1974,5,3
840,USA,2,USA,-4,2,199509,199512,39,2,1956,1995,2,1,1995,1995,840,39,2,1956,4,4
840,USA,2,USA,-4,2,199509,199512,-1,2,1926,1995,-1,2,1995,1995,840,-1,2,1926,7,3
840,USA,2,USA,-4,2,199509,199512,75,2,1920,1995,5,4,1995,1995,840,75,2,1920,1,1
